Stars,Title,PUBCHEM_CONFORMER_RMSD,docking score,glide emodel,glide gscore
,ZINC04601135,,-4.354,-43.869,-4.355
,ZINC59046442,,-4.353,-54.697,-4.353
,ZINC21083685,,-4.352,-55.825,-4.408
,ZINC15026953,,-4.352,-43.368,-4.352
,ZINC19790990,,-4.352,-43.562,-4.901
,ZINC94550861,,-4.35,-47.137,-4.365
,ZINC94550861,,-4.35,-47.137,-4.365
,ZINC01293166,,-4.348,-33.13,-4.433
,ZINC08907996,,-4.347,-44.981,-4.348
,ZINC03909383,,-4.347,-42.681,-4.354
,ZINC93227915,,-4.345,-45.343,-4.74
,ZINC04457803,,-4.341,-39.687,-4.401
,ZINC04814972,,-4.338,-50.668,-4.338
,ZINC94356778,,-4.337,-42.9,-4.337
,ZINC94356778,,-4.337,-42.9,-4.337
,ZINC64062134,,-4.335,-48.957,-4.338
,ZINC54550909,,-4.332,-50.34,-4.444
,ZINC00290035,,-4.327,-41.411,-4.328
,ZINC68339752,,-4.326,-50.219,-4.326
,ZINC38492376,,-4.325,-44.982,-4.325
,ZINC93847101,,-4.325,-36.414,-4.325
,ZINC93847078,,-4.322,-41.86,-4.322
,ZINC72088731,,-4.321,-45.882,-4.321
,ZINC72088731,,-4.321,-45.882,-4.321
,ZINC22001222,,-4.32,-53.285,-4.32
,ZINC06404857,,-4.32,-43.237,-4.32
,ZINC19794174,,-4.318,-46.337,-4.889
,ZINC08926234,,-4.318,-55.599,-4.318
,ZINC08926234,,-4.318,-55.599,-4.318
,ZINC72772528,,-4.313,-47.693,-4.353
,ZINC94357388,,-4.312,-41.105,-5.119
,ZINC94357388,,-4.312,-41.105,-5.119
,ZINC94356177,,-4.312,-41.216,-4.312
,ZINC13081119,,-4.307,-44.446,-4.318
,ZINC13081119,,-4.307,-44.446,-4.318
,ZINC59941801,,-4.306,-57.875,-4.306
,ZINC07020473,,-4.305,-46.951,-4.305
,ZINC64020121,,-4.304,-49.418,-4.304
,ZINC64136880,,-4.302,-51.117,-4.302
,ZINC90519035,,-4.301,-45.674,-4.481
,ZINC91081904,,-4.298,-47.664,-4.506
,ZINC04142281,,-4.295,-52.613,-4.295
,ZINC04142281,,-4.295,-52.613,-4.295
,ZINC94094723,,-4.295,-45.987,-4.295
,ZINC94094723,,-4.295,-45.987,-4.295
,ZINC91063706,,-4.293,-53.837,-4.751
,ZINC63562727,,-4.292,-56.81,-4.292
,ZINC63547526,,-4.291,-57.033,-4.562
,ZINC90552822,,-4.286,-58.722,-5.304
,ZINC15791008,,-4.283,-51.13,-4.283
,ZINC07797784,,-4.283,-45.746,-4.283
,ZINC20462265,,-4.28,-39.527,-4.808
,ZINC72012115,,-4.278,-43.802,-4.278
,ZINC06304614,,-4.275,-40.454,-4.275
,ZINC04844591,,-4.273,-56.826,-4.273
,ZINC04844591,,-4.273,-56.826,-4.273
,ZINC05346635,,-4.265,-45.274,-4.265
,ZINC91587529,,-4.264,-45.204,-4.276
,ZINC92401399,,-4.263,-38.04,-4.383
,ZINC40166146,,-4.263,-43.639,-5.011
,ZINC40166146,,-4.263,-43.639,-5.011
,ZINC94957043,,-4.263,-36.113,-4.298
,ZINC19790990,,-4.262,-50.744,-4.705
,ZINC40656705,,-4.258,-44.668,-4.263
,ZINC46877559,,-4.257,-51.331,-4.257
,ZINC77891360,,-4.256,-47.152,-4.372
,ZINC68972963,,-4.256,-42.861,-4.256
,ZINC68972963,,-4.256,-42.861,-4.256
,ZINC38492120,,-4.255,-45.172,-4.255
