Stars,Title,PUBCHEM_PHARMACOPHORE_FEATURES,docking score,glide emodel,glide gscore,Formula
,ZINC92122984,,-4.255,-44.707,-4.404,
,ZINC92123889,,-4.252,-39.064,-5.072,
,ZINC64481114,,-4.252,-36.448,-4.4,
,ZINC77319966,,-4.251,-77.055,-5.504,
,ZINC77319966,,-4.251,-77.055,-5.504,
,ZINC83251304,,-4.249,-32.428,-4.249,
,ZINC92124839,,-4.246,-39.284,-4.372,
,ZINC73732993,,-4.245,-53.322,-4.722,
,ZINC92125810,,-4.243,-42.721,-4.431,
,ZINC92125153,,-4.241,-52.741,-5.524,
,ZINC92125153,,-4.241,-52.741,-5.524,
,ZINC92103452,,-4.241,-37.532,-4.36,
,ZINC92120040,,-4.239,-40.749,-4.428,
,ZINC92124245,,-4.228,-50.635,-4.388,
,ZINC92124245,,-4.228,-50.635,-4.388,
,ZINC92124564,,-4.227,-43.18,-4.373,
,ZINC92120054,,-4.226,-45.843,-4.374,
,ZINC72400628,,-4.225,-78.119,-5.793,
,ZINC92120573,,-4.223,-39.46,-4.359,
,ZINC92120573,,-4.223,-39.46,-4.359,
,ZINC92120573,,-4.223,-39.46,-4.359,
,ZINC92121005,,-4.222,-45.684,-5.094,
,ZINC92123166,,-4.221,-40.982,-4.41,
,ZINC67560929,,-4.218,-40.757,-4.682,
,ZINC92125159,,-4.216,-37.69,-4.364,
,ZINC92121836,,-4.215,-40.426,-4.336,
,ZINC92124884,,-4.214,-42.658,-4.351,
,ZINC92123499,,-4.212,-40.237,-4.35,
,ZINC92123499,,-4.212,-40.237,-4.35,
,ZINC92126123,,-4.206,-39.508,-4.358,
,ZINC67878314,,-4.205,-50.757,-4.481,
,ZINC72400628,,-4.204,-78.298,-5.743,
,ZINC92123338,,-4.203,-37.82,-4.451,
,ZINC92120863,,-4.203,-42.533,-4.384,
,ZINC92123278,,-4.2,-38.452,-4.348,
,ZINC92123278,,-4.2,-38.452,-4.348,
,ZINC92123510,,-4.2,-40.781,-4.338,
,ZINC92123510,,-4.2,-40.781,-4.338,
