Stars,Title,docking score,glide emodel,glide gscore
,MvfR_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000 - prepared,,,
,ZINC91345599,-4.47,-44.555,-4.47
,ZINC95407003,-4.465,-41.409,-4.465
,ZINC95407003,-4.465,-41.409,-4.465
,ZINC95407003,-4.465,-41.409,-4.465
,ZINC91345068,-4.458,-43.823,-4.458
,ZINC91345068,-4.458,-43.823,-4.458
,ZINC91336799,-4.451,-47.072,-4.451
,ZINC39735396,-4.451,-41.124,-4.451
,ZINC73925086,-4.448,-44.798,-4.448
,ZINC91375927,-4.448,-44.393,-4.448
,ZINC91375927,-4.448,-44.393,-4.448
,ZINC88429914,-4.443,-42.209,-4.443
,ZINC77489022,-4.44,-52.011,-4.44
,ZINC78523588,-4.437,-39.846,-4.437
,ZINC40445247,-4.436,-38.55,-4.436
,ZINC91235903,-4.432,-44.554,-4.432
,ZINC91235903,-4.432,-44.554,-4.432
,ZINC63493915,-4.428,-47.186,-4.428
,ZINC63493915,-4.428,-47.186,-4.428
,ZINC89328296,-4.424,-51.388,-4.424
,ZINC93353068,-4.416,-47.97,-4.416
,ZINC93353068,-4.416,-47.97,-4.416
,ZINC89259367,-4.414,-47.267,-4.414
,ZINC81969003,-4.414,-38.754,-4.414
,ZINC39736358,-4.413,-42.403,-4.413
,ZINC39736358,-4.413,-42.403,-4.413
,ZINC39736358,-4.413,-42.403,-4.413
,ZINC89461403,-4.413,-37.077,-4.413
,ZINC94957539,-4.403,-36.02,-4.403
,ZINC91227314,-4.4,-45.35,-4.4
,ZINC91227314,-4.4,-45.35,-4.4
,ZINC91227314,-4.4,-45.35,-4.4
,ZINC93351361,-4.399,-50.902,-4.399
,ZINC93351361,-4.399,-50.902,-4.399
,ZINC91914695,-4.397,-50.571,-4.397
,ZINC91344970,-4.396,-37.564,-4.396
,ZINC91344970,-4.396,-37.564,-4.396
,ZINC78685748,-4.392,-42.845,-4.392
,ZINC93351091,-4.391,-36.141,-4.391
,ZINC93352278,-4.39,-51.345,-4.39
,ZINC93352278,-4.39,-51.345,-4.39
,ZINC93351244,-4.385,-45.995,-4.385
,ZINC05194995,-4.383,-44.286,-4.383
,ZINC02417608,-4.383,-51.084,-4.383
,ZINC02417608,-4.383,-51.084,-4.383
,ZINC02417608,-4.383,-51.084,-4.383
,ZINC89328294,-4.382,-51.647,-4.382
,ZINC66931543,-4.38,-38.773,-4.38
,ZINC07737692,-4.379,-51.436,-4.379
,ZINC78304421,-4.379,-34.544,-4.379
,ZINC21078672,-4.378,-52.644,-4.378
,ZINC87559883,-4.377,-44.601,-4.377
,ZINC87559883,-4.377,-44.601,-4.377
