Stars,Title,docking score,glide emodel,glide gscore,Formula
,ZINC35397463,-3.663,-37.646,-3.693,
,ZINC00571015,-3.658,-38.309,-3.67,
,ZINC16892337,-3.656,-42.177,-3.663,
,ZINC19923832,-3.654,-44.097,-3.68,
,ZINC58009358,-3.652,-43.95,-3.769,
,ZINC04215237,-3.649,-43.014,-3.649,
,ZINC04215237,-3.649,-43.014,-3.649,
,ZINC04215237,-3.649,-43.014,-3.649,
,ZINC04215237,-3.649,-43.014,-3.649,
,ZINC59122196,-3.647,-49.704,-3.647,
,ZINC59122196,-3.647,-49.704,-3.647,
,ZINC00287864,-3.645,-37.404,-3.678,
,ZINC33253638,-3.642,-43.514,-4.087,
,ZINC33253638,-3.642,-43.514,-4.087,
,ZINC78624520,-3.639,-37.739,-3.643,
,ZINC03616634,-3.631,-36.154,-3.631,
,ZINC16264885,-3.63,-45.522,-3.92,
,ZINC39977394,-3.63,-42.036,-3.631,
,ZINC08739989,-3.629,-47.894,-3.629,
,ZINC08739989,-3.629,-47.894,-3.629,
,ZINC08739989,-3.629,-47.894,-3.629,
,ZINC02866618,-3.628,-45.708,-3.635,
,ZINC02866618,-3.628,-45.708,-3.635,
,ZINC02866618,-3.628,-45.708,-3.635,
,ZINC02866618,-3.628,-45.708,-3.635,
,ZINC04694366,-3.628,-43.329,-3.628,
,ZINC35397508,-3.626,-38.591,-3.627,
,ZINC35397508,-3.626,-38.591,-3.627,
,ZINC16922910,-3.625,-47.976,-3.625,
,ZINC03926191,-3.622,-41.439,-3.627,
,ZINC03926191,-3.622,-41.439,-3.627,
